0_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_90,90_100
7.952,8.176,8.168,8.2,7.968,8.056,7.936,8.036,7.772,9.052
7.936,8.14,8.128,8.088,7.828,7.988,7.932,8.092,7.88,9.16
8.004,8.18,8.144,8.136,7.7,7.884,7.832,8.02,7.912,9.132
8.064,8.292,8.272,8.18,7.812,8,7.844,7.956,7.808,9.072
7.98,8.252,8.208,8.144,7.832,8.1,7.916,7.992,7.72,8.928
7.956,8.18,8.188,8.004,7.692,8.088,7.948,8.104,7.852,8.936
7.984,8.204,8.184,7.98,7.636,7.952,7.852,8.068,7.9,8.872
8.072,8.348,8.312,8.064,7.644,8.064,7.8,7.984,7.832,8.728
7.996,8.336,8.32,8.088,7.736,8.164,7.884,8.012,7.66,8.56
7.928,8.252,8.296,7.992,7.78,8.152,7.94,8.128,7.7,8.52
7.96,8.296,8.248,7.976,7.632,8.048,7.868,8.108,7.9,8.492
8.056,8.412,8.376,8.052,7.696,8.144,7.816,8.036,8.224,8.368
8.044,8.424,8.404,8.08,7.792,8.248,7.852,8.044,8.596,8.212
8.004,8.348,8.376,7.992,7.784,8.212,7.944,8.136,9.336,8.208
8.044,8.368,8.328,7.948,7.656,8.108,7.88,8.16,10.156,8.224
8.168,8.492,8.436,8.04,7.684,8.08,7.78,8.088,10.88,8.172
8.152,8.552,8.5,8.096,7.68,8.188,7.844,8.088,11.184,8.076
8.076,8.5,8.468,8.04,7.664,8.172,7.948,8.188,10.86,8.06
8.1,8.508,8.456,7.9,7.696,8.072,7.9,8.204,9.62,8.152
8.228,8.652,8.548,7.924,8.028,8.012,7.8,8.124,8.392,8.092
8.228,8.692,8.664,8.016,8.66,8.084,7.84,8.104,7.7,8.044
8.132,8.684,8.644,8.212,9.328,8.064,7.912,8.216,7.652,8.004
8.1,8.688,8.672,8.504,10.092,7.984,7.9,8.268,7.856,8.14
8.156,8.796,8.74,9.072,10.808,7.86,7.784,8.232,7.896,8.08
8.164,8.932,8.888,9.804,11.268,7.952,7.784,8.18,7.788,8.052
8.112,8.908,8.864,10.536,10.884,8.024,7.916,8.292,7.832,7.952
8.024,8.884,8.884,11.028,9.372,7.952,7.892,8.336,8,8.1
8.084,8.996,8.936,11.244,8.028,7.816,7.812,8.316,8.04,8.08
8.14,9.12,9.1,10.284,7.676,7.956,7.792,8.288,7.936,8.044
8.004,9.104,9.092,9.012,7.86,8.024,7.9,8.36,7.864,7.988
7.904,9.084,9.092,8.088,7.828,7.944,7.904,8.484,7.976,8.068
7.96,9.132,9.092,7.816,7.708,7.836,7.852,8.436,7.996,8.084
8.004,9.244,9.232,7.976,7.784,7.936,7.788,8.424,7.936,8.068
7.94,9.2,9.204,8.04,8.044,8.048,7.876,8.476,7.828,7.98
7.864,9.068,9.148,7.964,7.912,7.96,7.904,8.648,7.968,8.052
7.928,9.048,9.012,8.036,7.652,7.74,7.852,8.656,8.036,8.088
7.996,9.08,9.06,8.164,7.768,7.792,7.796,8.54,7.984,8.056
7.98,8.94,8.972,8.212,7.868,8.22,7.868,8.656,7.868,7.992
7.852,8.74,8.812,8.104,7.832,8.628,7.92,8.816,7.976,8.024
7.92,8.624,8.64,8.016,7.784,9.108,7.876,8.868,8.072,8.112
8,8.596,8.616,8.12,7.832,9.78,7.792,8.856,8.068,8.072
8,8.516,8.56,8.176,7.968,10.684,7.824,8.9,7.892,8.028
7.888,8.348,8.388,8.124,7.912,11.224,7.948,9.024,7.972,8.016
7.832,8.268,8.24,8.032,7.756,11.128,7.9,9.116,8.12,8.112
7.864,8.3,8.276,8.14,7.648,9.984,7.816,9.06,8.132,8.08
8.068,8.304,8.296,8.22,7.824,8.832,7.832,9.056,7.98,8.04
8.316,8.184,8.164,8.156,7.932,8.084,7.94,9.16,8.012,8.008
8.816,8.092,8.064,8.056,7.82,7.728,7.912,9.22,8.136,8.136
9.512,8.144,8.088,8.108,7.784,7.688,7.82,9.168,8.188,8.104
10.252,8.172,8.124,8.256,7.884,7.916,7.804,9.064,8.036,8.068
10.828,8.108,8.072,8.22,8.032,8.044,7.908,9.056,8.004,8.008
11.128,8.052,7.992,8.116,7.892,8.032,7.904,9.056,8.164,8.128
10.58,8.076,7.984,8.176,7.792,7.924,7.828,8.884,8.224,8.076
9.3,8.184,8.092,8.272,7.832,8.068,7.784,8.7,8.16,8.068
8.268,8.104,8.044,8.268,7.92,8.148,7.924,8.636,8.096,7.98
7.768,8.016,8.02,8.152,7.968,8.084,7.908,8.608,8.224,8.068
7.764,8.056,7.944,8.176,7.888,7.904,7.852,8.484,8.32,8.088
7.936,8.144,8.104,8.272,7.976,8.032,7.812,8.304,8.256,8.06
7.928,8.108,8.04,8.304,7.96,8.172,7.896,8.264,8.192,7.98
7.884,8.012,8,8.22,8,8.1,7.96,8.28,8.308,8.072
7.984,8.048,7.936,8.196,7.884,7.948,7.892,8.192,8.408,8.096
8.116,8.136,8.032,8.308,7.844,8.024,7.816,8.06,8.412,8.076
8.076,8.104,8.028,8.368,8.1,8.164,7.868,8.06,8.312,8.016
7.976,8.032,8.02,8.292,8.288,8.128,7.948,8.112,8.444,8.044
7.984,8.032,7.928,8.264,8.056,8.012,7.892,8.088,8.572,8.1
8.096,8.124,8.044,8.356,7.984,8,7.832,7.972,8.608,8.052
8.04,8.136,8.06,8.456,8.072,8.184,7.856,7.968,8.488,8.004
7.964,8.04,7.992,8.416,8.228,8.164,7.972,8.048,8.596,8.008
7.972,8.044,7.928,8.336,8.06,8.112,7.976,8.044,8.772,8.096
8.1,8.112,8.016,8.444,8.036,8.048,7.916,7.984,8.844,8.048
8.096,8.136,8.068,8.548,8.28,8.228,7.924,7.924,8.72,8.032
8.044,8.088,8.008,8.544,8.284,8.228,8.048,8,8.784,8.004
7.992,8.04,7.96,8.456,8.172,8.124,8.064,8.032,8.956,8.128
8.096,8.1,7.98,8.548,8.276,8.044,8.008,7.972,9.048,8.068
8.124,8.168,8.068,8.7,8.372,8.236,8,7.932,8.956,8.028
8.04,8.112,8.008,8.716,8.48,8.3,8.128,7.996,8.96,7.996
8.028,8.048,7.932,8.644,8.496,8.216,8.112,8.052,9.132,8.072
8.116,8.104,7.96,8.748,8.568,8.084,8.016,8.008,9.156,8.076
8.176,8.168,8.06,8.896,8.628,8.24,7.968,7.904,9,8.044
8.112,8.132,8.02,8.936,8.664,8.384,8.028,7.964,8.884,7.98
8.068,8.04,7.96,8.872,8.68,8.28,8.052,8.044,8.98,8.068
8.132,8.08,7.96,8.944,8.608,8.172,7.968,8.008,8.948,8.104
8.208,8.192,8.08,9.088,8.784,8.284,7.928,7.9,8.776,8.056
8.172,8.128,8.032,9.148,8.88,8.484,7.964,7.948,8.548,8
8.1,8.04,7.996,9.12,8.78,8.396,7.984,8.048,8.528,8.036
8.192,8.068,7.936,9.12,8.704,8.292,7.88,8.024,8.504,8.1
8.268,8.148,8.028,9.22,8.724,8.38,7.812,7.928,8.38,8.056
8.236,8.112,8.064,9.312,8.808,8.568,7.824,7.952,8.152,7.992
8.192,8.052,7.976,9.228,8.744,8.556,7.924,8.024,8.176,8.024
8.208,8.02,7.916,9.156,8.536,8.476,7.844,8.06,8.204,8.124
8.384,8.136,7.996,9.184,8.464,8.484,7.788,7.964,8.136,8.06
8.364,8.148,8.056,9.188,8.436,8.728,7.812,7.948,7.952,8
8.292,8.084,7.944,8.996,8.232,8.768,7.908,8.04,7.976,8.028
8.332,8.028,7.924,8.776,8.1,8.696,7.892,8.032,8.088,8.116
8.444,8.104,7.972,8.748,8.044,8.696,7.792,7.972,8.06,8.04
8.472,8.136,8.04,8.736,8.02,8.904,7.82,7.924,7.908,8.012
8.4,8.064,7.96,8.544,7.984,8.984,7.908,8.004,7.892,8.016
8.452,8.032,7.92,8.364,7.872,8.936,7.88,8.068,8.008,8.104
8.54,8.104,7.924,8.34,7.808,8.88,7.712,7.98,8.048,8.084
8.644,8.168,8.016,8.38,7.824,9.104,7.704,7.928,7.896,8.032
8.636,8.096,7.964,8.32,7.824,9.18,8.056,7.976,7.844,8
8.64,8.024,7.92,8.124,7.788,9.132,8.472,8.056,7.996,8.076
8.756,8.076,7.9,8.148,7.676,8.988,8.924,7.984,8.028,8.076
8.86,8.16,8.036,8.2,7.76,9.148,9.564,7.904,7.932,8.032
8.848,8.104,7.996,8.176,7.816,9.228,10.46,7.984,7.844,7.98
8.856,8,7.936,8.036,7.736,9.112,11.06,8.056,7.956,8.052
