f1y01,f1y02,f1y03,f1y04,f1y05,f1y06,f1y07,f1y08,f1y09,f1y10
8.724,8.044,8.096,8.268,7.556,8.808,7.772,7.656,8.26,8.008
8.72,8.06,8.024,8.324,7.872,8.86,7.78,7.86,8.28,7.996
8.748,8.016,7.984,8.256,8.276,8.836,7.78,8.264,8.008,8.02
8.872,8.012,8.064,8.236,8.112,8.692,7.788,8.504,8.128,8.02
8.968,8.036,8.092,8.304,7.548,8.636,7.76,9.004,8.172,8.02
8.944,8.056,8.032,8.368,7.768,8.656,7.788,9.616,8.208,8.028
8.976,8.036,7.944,8.292,8.188,8.596,7.808,10.284,8.148,8.052
9.08,7.98,8.024,8.268,8.22,8.468,7.812,10.732,8.072,8.068
9.124,8.024,8.1,8.34,7.628,8.408,7.804,10.656,8.228,8.072
9.124,8.068,8.02,8.392,7.692,8.448,7.788,9.76,8.444,8.052
9.116,8.032,7.964,8.396,8.188,8.412,7.804,8.94,8.2,8.092
9.148,7.98,8.048,8.352,8.324,8.304,7.82,8.412,8,8.124
9.208,8,8.108,8.4,7.756,8.22,7.776,8.076,8.088,8.152
9.124,8.052,8.044,8.432,7.588,8.244,7.78,7.96,8.092,8.184
9.004,8.044,7.956,8.46,8.124,8.24,7.812,8.044,8.016,8.18
8.94,8.008,7.996,8.404,8.392,8.184,7.828,8.044,8.06,8.184
8.912,8,8.064,8.44,7.92,8.108,7.804,8.056,8.268,8.16
8.78,8.032,8.068,8.528,7.656,8.132,7.78,8.116,8.336,8.136
8.628,8.04,7.944,8.568,8.156,8.176,7.816,8.252,8.184,8.088
8.532,8.016,7.996,8.504,8.428,8.144,7.8,8.256,8.164,8.088
8.496,7.996,8.084,8.544,8.008,8.088,7.772,8.08,8.168,8.08
8.408,8.024,8.072,8.628,7.6,8.076,7.772,8.048,8.252,8.04
8.264,8.036,7.98,8.688,8.092,8.112,7.776,8.16,8.08,8.012
8.208,8.004,7.968,8.628,8.44,8.128,7.788,8.232,7.996,8.032
8.212,7.972,8.032,8.68,8.144,8.056,7.784,8.108,8.216,7.992
8.148,8.02,8.08,8.768,7.656,8.056,7.784,8.048,8.484,7.976
8.064,8.032,7.992,8.824,7.996,8.1,7.792,8.14,8.296,7.948
8.036,8.008,7.952,8.808,8.384,8.128,7.784,8.236,8.132,7.964
8.092,7.996,8.02,8.824,8.22,8.064,7.784,8.096,8.148,7.98
8.068,8,8.1,8.876,7.664,8.028,7.772,8.076,8.332,7.948
7.992,8.04,8.02,9.032,7.888,8.08,7.776,8.136,8.368,7.928
7.972,7.996,7.936,8.98,8.352,8.1,7.776,8.26,8.188,7.928
8.028,7.972,8.012,9.048,8.36,8.052,7.772,8.136,8.2,7.968
8.04,8.004,8.092,9.172,7.764,8.008,7.748,8.068,8.404,7.956
8,8.044,8.04,9.236,7.728,8.112,7.784,8.104,8.408,7.964
7.972,8.012,7.936,9.232,8.228,8.112,7.78,8.248,8.304,7.94
7.976,7.976,7.996,9.252,8.312,8.056,7.776,8.184,8.324,7.964
8.04,7.972,8.068,9.34,7.744,8.028,7.748,8.072,8.472,7.976
8.008,8.024,8.024,9.408,7.54,8.108,7.764,8.128,8.524,7.96
7.964,8,7.956,9.464,8.1,8.124,7.772,8.28,8.324,7.928
7.956,7.988,7.972,9.42,8.332,8.084,7.776,8.228,8.34,7.888
8.036,7.968,8.036,9.488,7.84,8.056,7.776,8.12,8.464,7.796
7.996,7.992,8.056,9.552,7.504,8.104,7.744,8.12,8.472,7.808
7.976,8.008,7.96,9.532,8.048,8.144,7.772,8.256,8.316,8.008
7.968,7.972,7.968,9.452,8.344,8.12,7.772,8.3,8.224,8.38
8.036,7.976,8.052,9.436,7.924,8.056,7.756,8.172,8.288,8.948
